COUNTY,TODAYS_DATE,HOSPITALIZED_COVID_CONFIRMED_PATIENTS,HOSPITALIZED_SUSPECTED_COVID_PATIENTS,HOSPITALIZED_COVID_PATIENTS,ALL_HOSPITAL_BEDS,ICU_COVID_CONFIRMED_PATIENTS,ICU_SUSPECTED_COVID_PATIENTS,ICU_AVAILABLE_BEDS
Santa Barbara,2021-01-02,143,9,152,668,40,0,21
Sutter,2021-01-02,0,0,0,14,0,0,0
Napa,2021-01-02,29,1,30,241,15,1,1
San Bernardino,2021-01-02,1715,65,1780,4116,355,13,50
Sacramento,2021-01-02,451,29,480,2623,106,4,82
Contra Costa,2021-01-02,251,15,266,1546,64,1,39
San Francisco,2021-01-02,214,5,219,1946,57,1,63
San Mateo,2021-01-02,170,12,182,746,41,1,23
Modoc,2021-01-02,2,0,2,12,0,0,0
Marin,2021-01-02,36,3,39,335,6,0,11
Plumas,2021-01-02,1,0,1,35,0,0,0
Santa Clara,2021-01-02,689,20,709,3108,148,2,48
Monterey,2021-01-02,195,0,195,717,31,0,35
Amador,2021-01-02,11,0,11,52,4,0,0
Siskiyou,2021-01-02,5,0,5,56,2,0,9
Humboldt,2021-01-02,6,3,9,269,1,0,21
Del Norte,2021-01-02,4,0,4,51,1,0,0
San Benito,2021-01-02,16,0,16,25,4,0,0
Trinity,2021-01-02,0,0,0,25,0,0,0
Mariposa,2021-01-02,0,0,0,19,0,0,0
Colusa,2021-01-02,5,0,5,48,0,0,5
Tehama,2021-01-02,26,0,26,59,1,0,0
Calaveras,2021-01-02,3,0,3,33,0,0,4
Merced,2021-01-02,54,0,54,271,18,0,3
Kings,2021-01-02,85,0,85,139,12,0,0
Glenn,2021-01-02,11,0,11,47,0,0,0
Butte,2021-01-02,87,1,88,451,13,0,7
Placer,2021-01-02,182,18,200,750,29,4,20
San Diego,2021-01-02,1486,57,1543,6737,369,6,186
Mendocino,2021-01-02,13,0,13,121,4,0,3
Orange,2021-01-02,2136,36,2172,6015,487,5,83
San Luis Obispo,2021-01-02,49,2,51,460,15,1,19
Nevada,2021-01-02,8,3,11,129,4,0,1
Monterey,2021-01-03,203,0,203,717,31,0,35
Riverside,2021-01-03,1543,117,1660,3414,330,3,31
Madera,2021-01-03,53,7,60,288,10,0,6
San Diego,2021-01-03,1507,52,1559,6740,373,4,189
Yolo,2021-01-03,29,0,29,170,15,0,26
Kern,2021-01-03,384,11,395,1139,82,1,14
Butte,2021-01-03,86,1,87,451,9,1,10
Lake,2021-01-03,8,0,8,77,3,0,2
Marin,2021-01-03,39,2,41,339,6,0,10
Fresno,2021-01-03,620,43,663,1582,129,3,6
Glenn,2021-01-03,10,0,10,47,0,0,0
Sonoma,2021-01-03,98,0,98,568,17,0,21
Santa Cruz,2021-01-03,82,0,82,372,17,0,3
Solano,2021-01-03,166,13,179,600,41,2,8
Sacramento,2021-01-03,488,36,524,2610,105,7,81
Del Norte,2021-01-03,4,0,4,51,1,0,2
Siskiyou,2021-01-03,5,0,5,56,1,0,10
Mariposa,2021-01-03,1,0,1,19,0,0,0
Yuba,2021-01-03,71,7,78,261,18,0,1
Lassen,2021-01-03,5,0,5,25,0,0,0
Mendocino,2021-01-03,12,0,12,121,3,0,2
Placer,2021-01-03,176,16,192,746,31,2,23
Santa Barbara,2021-01-03,157,7,164,688,48,0,23
Inyo,2021-01-03,7,0,7,29,2,0,2
Stanislaus,2021-01-03,344,11,355,1299,71,1,15
Humboldt,2021-01-03,7,3,10,267,2,0,14
El Dorado,2021-01-03,35,0,35,190,10,0,4
San Francisco,2021-01-03,206,5,211,1921,54,1,64
Modoc,2021-01-03,2,0,2,12,0,0,0
San Luis Obispo,2021-01-03,52,1,53,460,12,0,22
Mono,2021-01-03,0,0,0,17,0,0,1
Contra Costa,2021-01-03,259,13,272,1519,65,0,34
Tuolumne,2021-01-03,11,0,11,84,1,0,2
Amador,2021-01-03,11,0,11,52,4,0,0
Calaveras,2021-01-03,3,0,3,33,0,0,4
Plumas,2021-01-03,1,0,1,35,0,0,0
Alameda,2021-01-03,425,41,466,2473,116,6,62
Kings,2021-01-03,84,0,84,134,12,0,0
San Joaquin,2021-01-03,298,5,303,886,88,1,23
Sutter,2021-01-03,0,0,0,14,0,0,0
Colusa,2021-01-03,3,1,4,48,0,0,5
Shasta,2021-01-03,42,0,42,567,9,0,10
Trinity,2021-01-03,0,0,0,25,0,0,0
Ventura,2021-01-03,377,23,400,1222,79,4,20
Merced,2021-01-03,57,0,57,271,18,0,4
Orange,2021-01-03,2178,40,2218,6022,500,6,84
Napa,2021-01-03,30,0,30,249,16,0,1
Imperial,2021-01-03,170,0,170,265,60,0,1
Los Angeles,2021-01-03,7898,305,8203,20328,1627,31,326
San Mateo,2021-01-03,179,9,188,742,44,2,24
Tulare,2021-01-03,224,7,231,627,26,2,11
Santa Clara,2021-01-03,704,20,724,3120,147,3,44
San Benito,2021-01-03,11,0,11,25,3,0,0
San Bernardino,2021-01-03,1733,76,1809,4129,343,7,55
Nevada,2021-01-03,8,3,11,129,4,0,2
Tehama,2021-01-03,22,0,22,59,1,0,0
Tuolumne,2021-01-04,12,0,12,84,1,0,0
Solano,2021-01-04,170,16,186,595,36,3,11
Colusa,2021-01-04,4,0,4,48,0,0,5
Marin,2021-01-04,34,4,38,336,6,0,11
Mendocino,2021-01-04,13,0,13,121,4,0,6
Amador,2021-01-04,12,0,12,52,3,0,0
Santa Barbara,2021-01-04,172,8,180,598,55,2,15
Sonoma,2021-01-04,102,0,102,566,20,0,21
Kern,2021-01-04,401,5,406,1158,90,0,9
Lassen,2021-01-04,6,0,6,25,0,0,0
Mono,2021-01-04,0,0,0,17,0,0,2
Santa Clara,2021-01-04,719,19,738,3105,146,6,40
Inyo,2021-01-04,8,0,8,29,2,0,2
San Francisco,2021-01-04,211,5,216,1965,54,2,64
Siskiyou,2021-01-04,4,0,4,56,1,0,9
Tulare,2021-01-04,231,5,236,632,27,0,10
Monterey,2021-01-04,198,1,199,717,32,0,36
Placer,2021-01-04,178,15,193,744,29,7,19
Butte,2021-01-04,84,1,85,451,9,0,13
Los Angeles,2021-01-04,8023,295,8318,20371,1642,27,338
Yolo,2021-01-04,28,0,28,170,12,0,14
Shasta,2021-01-04,45,0,45,567,10,0,10
Napa,2021-01-04,27,0,27,243,14,0,0
Madera,2021-01-04,53,9,62,288,11,0,2
Nevada,2021-01-04,9,1,10,129,3,1,0
Sutter,2021-01-04,0,0,0,14,0,0,0
Del Norte,2021-01-04,4,0,4,51,1,0,1
Riverside,2021-01-04,1615,122,1737,3629,342,5,20
Ventura,2021-01-04,394,15,409,1222,87,8,22
Fresno,2021-01-04,640,46,686,1610,126,3,11
Santa Cruz,2021-01-04,86,0,86,372,18,0,0
Orange,2021-01-04,2236,42,2278,6031,504,5,88
Lake,2021-01-04,9,0,9,78,4,0,1
Alameda,2021-01-04,424,57,481,2492,109,6,64
San Benito,2021-01-04,11,0,11,25,3,0,0
Calaveras,2021-01-04,3,0,3,33,0,0,5
Yuba,2021-01-04,68,2,70,261,17,1,1
San Mateo,2021-01-04,178,8,186,748,41,0,8
Contra Costa,2021-01-04,269,19,288,1503,69,2,35
Imperial,2021-01-04,181,0,181,265,67,0,0
Humboldt,2021-01-04,7,3,10,268,2,1,14
Merced,2021-01-04,60,0,60,271,17,0,4
Mariposa,2021-01-04,1,0,1,19,0,0,0
El Dorado,2021-01-04,38,0,38,190,12,0,5
Plumas,2021-01-04,1,0,1,35,0,0,0
Tehama,2021-01-04,18,0,18,59,2,0,0
Glenn,2021-01-04,10,0,10,47,0,0,0
Kings,2021-01-04,96,0,96,137,14,0,4
San Joaquin,2021-01-04,324,9,333,902,87,1,17
Trinity,2021-01-04,0,0,0,25,0,0,0
San Diego,2021-01-04,1537,48,1585,6742,382,5,202
Stanislaus,2021-01-04,355,7,362,1298,61,1,18
Sacramento,2021-01-04,465,33,498,2629,102,9,87
San Luis Obispo,2021-01-04,58,0,58,460,14,0,17
Modoc,2021-01-04,2,0,2,12,0,0,0
San Bernardino,2021-01-04,1763,93,1856,4126,346,5,58
El Dorado,2021-01-05,40,0,40,190,12,0,6
Tuolumne,2021-01-05,11,0,11,84,2,0,0
Modoc,2021-01-05,2,0,2,12,0,0,0
Mariposa,2021-01-05,1,0,1,19,0,0,0
San Benito,2021-01-05,13,0,13,25,4,0,0
Merced,2021-01-05,58,0,58,271,16,0,3
Sutter,2021-01-05,0,0,0,14,0,0,0
Yuba,2021-01-05,71,5,76,261,15,0,1
Nevada,2021-01-05,12,0,12,118,4,0,4
San Mateo,2021-01-05,188,8,196,760,38,0,8
Riverside,2021-01-05,1611,120,1731,3657,343,2,23
Colusa,2021-01-05,5,0,5,48,0,0,5
Lake,2021-01-05,12,0,12,77,4,0,1
Siskiyou,2021-01-05,5,0,5,56,1,0,8
Santa Cruz,2021-01-05,84,0,84,372,16,0,5
Placer,2021-01-05,180,22,202,742,27,5,20
San Joaquin,2021-01-05,340,8,348,905,87,1,8
Santa Clara,2021-01-05,726,15,741,3142,163,4,37
Alameda,2021-01-05,442,51,493,2512,109,7,71
Kern,2021-01-05,416,6,422,1165,86,0,14
Stanislaus,2021-01-05,361,8,369,1296,68,1,11
Marin,2021-01-05,36,4,40,336,6,0,11
Humboldt,2021-01-05,6,2,8,274,2,2,11
Mendocino,2021-01-05,13,0,13,118,5,0,4
Kings,2021-01-05,91,0,91,145,16,0,0
Monterey,2021-01-05,190,4,194,717,33,0,32
Tulare,2021-01-05,228,6,234,632,25,0,14
Mono,2021-01-05,2,0,2,17,0,0,2
Lassen,2021-01-05,5,0,5,25,0,0,0
Orange,2021-01-05,2250,42,2292,6076,485,3,85
Tehama,2021-01-05,17,0,17,59,3,0,2
Los Angeles,2021-01-05,8098,324,8422,20495,1628,40,313
Inyo,2021-01-05,8,0,8,29,2,0,2
Imperial,2021-01-05,172,1,173,265,64,0,4
Del Norte,2021-01-05,3,0,3,51,1,0,1
Santa Barbara,2021-01-05,167,6,173,598,55,1,17
San Francisco,2021-01-05,221,8,229,1964,60,1,53
Madera,2021-01-05,55,5,60,288,10,1,1
Trinity,2021-01-05,0,0,0,25,0,0,0
Solano,2021-01-05,168,14,182,603,34,1,8
Fresno,2021-01-05,659,36,695,1619,122,0,6
Butte,2021-01-05,96,0,96,451,8,0,12
San Diego,2021-01-05,1585,61,1646,6746,383,8,218
Amador,2021-01-05,9,1,10,52,4,0,0
Calaveras,2021-01-05,5,0,5,33,3,0,4
Napa,2021-01-05,25,0,25,254,16,0,41
Contra Costa,2021-01-05,271,13,284,1530,62,3,36
San Luis Obispo,2021-01-05,64,2,66,460,16,1,13
San Bernardino,2021-01-05,1785,77,1862,4107,352,3,53
Ventura,2021-01-05,419,13,432,1220,85,2,22
Shasta,2021-01-05,51,0,51,567,10,0,9
Sacramento,2021-01-05,509,33,542,2646,118,9,78
Plumas,2021-01-05,0,0,0,35,0,0,0
Glenn,2021-01-05,6,0,6,47,0,0,0
Sonoma,2021-01-05,101,1,102,595,23,0,18
Yolo,2021-01-05,30,2,32,169,10,0,16
Solano,2021-01-06,170,14,184,583,36,1,8
Santa Clara,2021-01-06,723,28,751,3161,165,6,27
Butte,2021-01-06,86,0,86,451,9,0,11
Sutter,2021-01-06,0,0,0,14,0,0,0
Los Angeles,2021-01-06,8074,311,8385,20435,1665,36,328
Glenn,2021-01-06,6,0,6,47,0,0,0
Yuba,2021-01-06,65,5,70,261,13,0,4
El Dorado,2021-01-06,39,0,39,190,10,0,3
Napa,2021-01-06,26,1,27,263,22,0,3
Del Norte,2021-01-06,2,0,2,51,1,0,1
Mendocino,2021-01-06,12,0,12,121,4,0,4
Contra Costa,2021-01-06,273,17,290,1536,66,2,27
Tuolumne,2021-01-06,10,0,10,84,1,0,1
Marin,2021-01-06,38,3,41,340,8,0,14
Nevada,2021-01-06,13,0,13,121,4,0,3
Merced,2021-01-06,57,0,57,271,16,0,3
Santa Barbara,2021-01-06,178,4,182,598,59,0,18
Orange,2021-01-06,2253,53,2306,5993,502,4,80
Sonoma,2021-01-06,105,3,108,671,19,2,24
San Benito,2021-01-06,14,0,14,25,5,0,0
Amador,2021-01-06,9,0,9,52,4,0,1
Monterey,2021-01-06,207,5,212,717,32,0,33
Siskiyou,2021-01-06,5,0,5,56,1,0,9
Shasta,2021-01-06,49,0,49,567,7,0,8
Ventura,2021-01-06,418,8,426,1164,86,1,21
Trinity,2021-01-06,0,0,0,25,0,0,0
Madera,2021-01-06,57,4,61,282,11,0,2
Placer,2021-01-06,181,19,200,747,27,3,13
Modoc,2021-01-06,1,0,1,12,0,0,0
Lassen,2021-01-06,4,0,4,25,0,0,0
Tulare,2021-01-06,219,3,222,632,26,0,14
Riverside,2021-01-06,1634,119,1753,3642,364,12,27
Mono,2021-01-06,1,0,1,17,0,0,2
San Luis Obispo,2021-01-06,70,1,71,460,17,0,13
Inyo,2021-01-06,8,0,8,29,2,0,2
San Joaquin,2021-01-06,334,9,343,912,87,0,7
San Bernardino,2021-01-06,1762,81,1843,4009,363,5,54
Colusa,2021-01-06,7,0,7,48,0,0,5
Fresno,2021-01-06,626,29,655,1594,114,0,8
Alameda,2021-01-06,431,50,481,2514,112,4,69
Stanislaus,2021-01-06,349,9,358,1296,66,2,12
Santa Cruz,2021-01-06,76,0,76,372,14,0,4
Plumas,2021-01-06,0,0,0,35,0,0,0
Sacramento,2021-01-06,499,32,531,2654,115,6,66
Kern,2021-01-06,433,13,446,1164,92,2,13
San Francisco,2021-01-06,233,10,243,2050,60,1,46
Kings,2021-01-06,93,1,94,146,16,0,4
Humboldt,2021-01-06,8,3,11,274,3,2,10
San Mateo,2021-01-06,180,7,187,776,39,1,12
Mariposa,2021-01-06,1,0,1,19,0,0,0
San Diego,2021-01-06,1661,71,1732,6755,391,9,169
Lake,2021-01-06,11,0,11,77,4,0,2
Imperial,2021-01-06,174,2,176,265,66,0,4
Yolo,2021-01-06,30,0,30,169,11,0,16
Calaveras,2021-01-06,6,0,6,33,3,0,4
Tehama,2021-01-06,17,0,17,59,4,0,1
San Diego,2021-01-07,1685,71,1756,6787,401,9,169
Mendocino,2021-01-07,12,0,12,120,4,0,6
San Benito,2021-01-07,11,0,11,25,4,0,0
Marin,2021-01-07,38,3,41,344,7,0,12
San Bernardino,2021-01-07,1751,82,1833,3954,362,5,48
Glenn,2021-01-07,6,0,6,47,0,0,0
Calaveras,2021-01-07,7,0,7,33,3,0,4
Shasta,2021-01-07,48,0,48,567,5,0,9
Napa,2021-01-07,32,0,32,248,17,0,0
Kings,2021-01-07,95,1,96,136,15,0,2
Alameda,2021-01-07,432,61,493,2525,110,4,72
Inyo,2021-01-07,8,0,8,29,2,0,2
Ventura,2021-01-07,408,8,416,1160,79,1,22
Monterey,2021-01-07,207,1,208,717,34,0,37
Merced,2021-01-07,58,0,58,272,16,0,4
Solano,2021-01-07,179,18,197,594,41,1,6
Riverside,2021-01-07,1648,128,1776,3656,370,11,10
Sonoma,2021-01-07,110,4,114,651,21,2,18
Butte,2021-01-07,84,0,84,451,12,0,7
Modoc,2021-01-07,1,1,2,11,0,0,0
Imperial,2021-01-07,170,1,171,265,65,0,4
Yuba,2021-01-07,69,3,72,261,14,0,3
Placer,2021-01-07,174,25,199,745,29,6,12
Lake,2021-01-07,10,1,11,77,3,0,3
Del Norte,2021-01-07,2,0,2,51,1,0,1
Amador,2021-01-07,8,1,9,52,4,0,1
San Luis Obispo,2021-01-07,61,3,64,460,12,0,12
Santa Clara,2021-01-07,713,36,749,3164,164,8,30
Colusa,2021-01-07,7,0,7,48,0,0,5
Santa Barbara,2021-01-07,183,3,186,598,60,0,19
Yolo,2021-01-07,31,0,31,169,10,0,17
San Francisco,2021-01-07,244,6,250,2064,61,0,37
Plumas,2021-01-07,0,0,0,35,0,0,0
Madera,2021-01-07,53,4,57,282,13,0,1
El Dorado,2021-01-07,37,0,37,190,11,0,6
Tehama,2021-01-07,15,0,15,59,4,0,1
Siskiyou,2021-01-07,4,0,4,56,1,0,9
Tuolumne,2021-01-07,11,0,11,84,2,0,1
Tulare,2021-01-07,210,5,215,632,27,1,10
Mono,2021-01-07,0,0,0,17,0,0,1
Sutter,2021-01-07,0,0,0,14,0,0,0
Stanislaus,2021-01-07,349,13,362,1296,66,1,15
Mariposa,2021-01-07,1,0,1,19,0,0,0
Lassen,2021-01-07,4,0,4,25,0,0,0
Sacramento,2021-01-07,497,40,537,2626,115,10,63
Trinity,2021-01-07,0,0,0,25,0,0,0
Kern,2021-01-07,437,16,453,1172,103,0,16
San Joaquin,2021-01-07,319,12,331,921,88,0,6
Contra Costa,2021-01-07,288,19,307,1552,66,4,33
Nevada,2021-01-07,14,1,15,121,4,0,3
San Mateo,2021-01-07,174,14,188,783,41,0,15
Humboldt,2021-01-07,8,2,10,274,2,0,8
Santa Cruz,2021-01-07,77,0,77,372,13,0,1
Los Angeles,2021-01-07,7966,327,8293,20437,1714,27,305
Orange,2021-01-07,2259,49,2308,6091,514,3,75
Fresno,2021-01-07,640,22,662,1556,102,0,6
Riverside,2021-01-08,1671,119,1790,3633,380,10,23
Amador,2021-01-08,8,1,9,52,3,0,0
Los Angeles,2021-01-08,7964,289,8253,19600,1731,25,306
Alameda,2021-01-08,442,52,494,2525,112,5,67
San Bernardino,2021-01-08,1758,79,1837,3764,360,4,35
Santa Clara,2021-01-08,708,17,725,3151,173,2,37
San Mateo,2021-01-08,180,10,190,771,32,1,16
Kings,2021-01-08,94,0,94,135,12,0,5
San Francisco,2021-01-08,249,5,254,2082,63,0,50
Orange,2021-01-08,2221,39,2260,5988,528,3,78
San Diego,2021-01-08,1695,68,1763,6546,410,11,162
Imperial,2021-01-08,156,0,156,263,64,0,5
Sutter,2021-01-08,0,0,0,14,0,0,0
San Joaquin,2021-01-08,314,7,321,871,86,0,4
Sonoma,2021-01-08,101,4,105,676,17,0,10
Yolo,2021-01-08,29,0,29,169,10,0,17
Contra Costa,2021-01-08,280,16,296,1549,75,1,34
Plumas,2021-01-08,0,0,0,35,0,0,0
Madera,2021-01-08,45,5,50,282,14,0,2
Calaveras,2021-01-08,8,0,8,33,3,0,4
Mariposa,2021-01-08,0,0,0,19,0,0,0
San Benito,2021-01-08,15,0,15,25,6,0,0
Mendocino,2021-01-08,8,0,8,102,4,0,1
Trinity,2021-01-08,0,0,0,25,0,0,0
Marin,2021-01-08,34,2,36,335,8,0,12
Tuolumne,2021-01-08,11,0,11,84,2,0,1
Placer,2021-01-08,176,17,193,750,31,4,11
Sacramento,2021-01-08,482,31,513,2636,105,7,63
Merced,2021-01-08,55,0,55,271,14,0,6
Yuba,2021-01-08,64,0,64,261,13,0,5
Humboldt,2021-01-08,9,4,13,274,2,0,15
Siskiyou,2021-01-08,6,0,6,56,1,0,9
Stanislaus,2021-01-08,343,12,355,1297,68,2,13
Colusa,2021-01-08,6,0,6,48,0,0,5
Lassen,2021-01-08,3,0,3,25,0,0,0
Shasta,2021-01-08,52,0,52,567,8,0,10
Nevada,2021-01-08,11,0,11,130,4,0,2
Fresno,2021-01-08,628,22,650,1560,117,2,9
Butte,2021-01-08,80,0,80,451,9,0,9
Glenn,2021-01-08,6,0,6,47,0,0,0
Inyo,2021-01-08,5,0,5,29,1,0,3
Modoc,2021-01-08,1,0,1,10,0,0,0
Solano,2021-01-08,179,9,188,598,41,3,11
Santa Barbara,2021-01-08,180,6,186,598,57,1,20
Ventura,2021-01-08,410,11,421,1180,79,3,27
Tehama,2021-01-08,14,0,14,59,3,0,1
Del Norte,2021-01-08,2,0,2,51,0,0,3
Napa,2021-01-08,31,0,31,256,18,0,0
Tulare,2021-01-08,210,4,214,677,25,1,8
Lake,2021-01-08,12,0,12,77,3,0,4
Santa Cruz,2021-01-08,78,0,78,372,20,0,3
Mono,2021-01-08,2,0,2,17,0,0,1
San Luis Obispo,2021-01-08,56,0,56,460,11,0,13
Kern,2021-01-08,422,14,436,1134,91,0,13
El Dorado,2021-01-08,36,0,36,190,10,0,4
Monterey,2021-01-08,204,3,207,717,30,0,36
Mono,2021-01-09,2,0,2,17,0,0,1
Colusa,2021-01-09,5,0,5,48,0,0,5
Merced,2021-01-09,56,0,56,271,16,0,2
Butte,2021-01-09,83,0,83,451,12,0,7
San Bernardino,2021-01-09,1716,75,1791,3779,359,7,37
Stanislaus,2021-01-09,338,17,355,1302,75,0,7
Tehama,2021-01-09,13,0,13,59,6,0,1
Madera,2021-01-09,44,8,52,288,12,0,2
Trinity,2021-01-09,0,0,0,25,0,0,0
Tulare,2021-01-09,211,3,214,637,27,1,3
Calaveras,2021-01-09,10,0,10,33,3,0,4
Los Angeles,2021-01-09,7910,280,8190,19580,1712,39,319
Kings,2021-01-09,92,0,92,135,13,0,3
Yuba,2021-01-09,56,0,56,261,12,0,5
Del Norte,2021-01-09,2,0,2,51,0,0,3
Glenn,2021-01-09,6,0,6,47,0,0,0
Ventura,2021-01-09,421,12,433,1175,87,2,23
Riverside,2021-01-09,1650,146,1796,3610,375,10,26
Santa Barbara,2021-01-09,174,3,177,598,55,3,20
San Francisco,2021-01-09,245,7,252,2121,61,0,54
Monterey,2021-01-09,208,4,212,717,30,0,32
San Luis Obispo,2021-01-09,50,0,50,460,11,0,16
Solano,2021-01-09,174,8,182,610,42,0,10
Nevada,2021-01-09,12,0,12,115,4,0,1
Placer,2021-01-09,178,26,204,746,30,5,6
El Dorado,2021-01-09,42,0,42,190,10,0,8
Plumas,2021-01-09,0,0,0,35,0,0,0
Mariposa,2021-01-09,0,0,0,19,0,0,0
Humboldt,2021-01-09,11,0,11,273,3,0,9
Tuolumne,2021-01-09,11,0,11,84,3,0,1
Napa,2021-01-09,31,0,31,203,13,0,1
Yolo,2021-01-09,33,0,33,170,13,0,16
Fresno,2021-01-09,635,38,673,1545,114,3,11
Amador,2021-01-09,7,0,7,52,3,0,1
San Mateo,2021-01-09,185,12,197,765,32,0,16
Modoc,2021-01-09,1,0,1,11,0,0,0
Inyo,2021-01-09,6,0,6,29,1,0,3
Contra Costa,2021-01-09,296,12,308,1612,77,1,26
Santa Cruz,2021-01-09,82,0,82,372,13,0,0
Marin,2021-01-09,29,2,31,339,8,0,12
Imperial,2021-01-09,165,0,165,264,64,0,0
Orange,2021-01-09,2216,34,2250,5984,547,0,95
Kern,2021-01-09,437,15,452,1167,102,1,11
Santa Clara,2021-01-09,694,17,711,3153,172,4,37
Siskiyou,2021-01-09,4,0,4,56,2,0,9
San Diego,2021-01-09,1691,60,1751,6549,399,11,150
Shasta,2021-01-09,50,1,51,567,7,0,4
San Benito,2021-01-09,16,0,16,25,6,0,0
Lake,2021-01-09,9,1,10,77,3,1,4
San Joaquin,2021-01-09,316,6,322,920,90,1,7
Sutter,2021-01-09,0,0,0,14,0,0,0
Lassen,2021-01-09,3,0,3,25,0,0,0
Mendocino,2021-01-09,15,0,15,121,2,0,5
Alameda,2021-01-09,428,43,471,2526,115,6,66
Sonoma,2021-01-09,98,7,105,646,12,1,10
Sacramento,2021-01-09,480,29,509,2633,110,6,70
Santa Cruz,2021-01-10,69,1,70,372,13,0,0
Merced,2021-01-10,58,0,58,271,15,0,3
Butte,2021-01-10,73,1,74,451,8,0,14
Solano,2021-01-10,179,11,190,610,48,1,9
Amador,2021-01-10,7,0,7,52,3,0,0
Lassen,2021-01-10,3,0,3,25,0,0,0
Tehama,2021-01-10,10,0,10,59,4,0,2
Napa,2021-01-10,28,0,28,207,16,0,1
Contra Costa,2021-01-10,261,13,274,1587,71,4,36
Orange,2021-01-10,2221,56,2277,5936,544,3,84
Santa Clara,2021-01-10,688,16,704,3144,163,2,39
Alameda,2021-01-10,424,37,461,2516,113,4,68
Mono,2021-01-10,1,0,1,17,0,0,2
San Joaquin,2021-01-10,320,9,329,921,91,1,6
Ventura,2021-01-10,410,14,424,1173,83,3,21
Calaveras,2021-01-10,12,0,12,33,4,0,3
San Diego,2021-01-10,1697,58,1755,6549,417,13,150
Sutter,2021-01-10,0,0,0,14,0,0,0
Shasta,2021-01-10,49,1,50,567,8,0,7
San Bernardino,2021-01-10,1720,75,1795,3746,356,9,38
Del Norte,2021-01-10,2,0,2,51,0,0,3
Modoc,2021-01-10,1,0,1,11,0,0,0
Yuba,2021-01-10,56,0,56,261,14,0,2
Tuolumne,2021-01-10,10,0,10,84,3,0,1
Humboldt,2021-01-10,12,0,12,279,2,0,16
Lake,2021-01-10,10,0,10,77,3,0,2
Los Angeles,2021-01-10,7926,344,8270,19462,1724,35,340
Inyo,2021-01-10,5,0,5,29,1,0,3
Nevada,2021-01-10,13,0,13,115,5,0,8
Colusa,2021-01-10,5,0,5,48,0,0,5
Imperial,2021-01-10,151,0,151,262,64,0,0
Stanislaus,2021-01-10,340,13,353,1305,79,0,14
Santa Barbara,2021-01-10,193,4,197,598,56,2,17
Tulare,2021-01-10,215,5,220,638,29,1,2
Sonoma,2021-01-10,97,11,108,644,13,2,10
Kern,2021-01-10,449,14,463,1180,109,2,6
San Luis Obispo,2021-01-10,48,2,50,460,8,0,20
Plumas,2021-01-10,0,0,0,35,0,0,0
Madera,2021-01-10,43,9,52,288,11,0,2
San Benito,2021-01-10,19,0,19,25,6,0,0
Mariposa,2021-01-10,0,0,0,15,0,0,0
Siskiyou,2021-01-10,5,0,5,56,3,0,9
San Mateo,2021-01-10,189,12,201,737,28,1,20
El Dorado,2021-01-10,46,0,46,190,8,0,8
Trinity,2021-01-10,0,0,0,25,0,0,0
Mendocino,2021-01-10,12,0,12,109,2,0,6
Fresno,2021-01-10,626,50,676,1554,116,1,13
Marin,2021-01-10,30,4,34,341,8,0,13
Placer,2021-01-10,183,20,203,753,32,2,4
Riverside,2021-01-10,1671,134,1805,3619,357,9,26
Monterey,2021-01-10,207,14,221,717,26,0,41
Glenn,2021-01-10,6,0,6,47,0,0,0
Sacramento,2021-01-10,485,27,512,2615,115,8,82
Kings,2021-01-10,90,0,90,133,14,0,0
Yolo,2021-01-10,32,0,32,171,14,0,16
San Francisco,2021-01-10,257,10,267,2112,61,0,70
Santa Barbara,2021-01-11,211,7,218,598,59,2,15
Mariposa,2021-01-11,0,0,0,15,0,0,0
Glenn,2021-01-11,6,0,6,47,0,0,0
Stanislaus,2021-01-11,348,9,357,1305,80,1,10
San Mateo,2021-01-11,195,10,205,767,37,1,21
San Joaquin,2021-01-11,327,9,336,924,91,1,5
Merced,2021-01-11,58,0,58,271,15,0,3
Nevada,2021-01-11,12,1,13,138,4,0,1
Sutter,2021-01-11,0,0,0,14,0,0,0
San Francisco,2021-01-11,252,4,256,2118,59,1,66
Lake,2021-01-11,9,0,9,77,3,0,2
Santa Cruz,2021-01-11,68,1,69,372,13,0,2
Lassen,2021-01-11,3,0,3,25,0,0,0
Colusa,2021-01-11,6,0,6,48,0,0,5
Los Angeles,2021-01-11,7949,330,8279,19573,1725,37,339
Monterey,2021-01-11,202,2,204,717,24,0,26
Plumas,2021-01-11,1,0,1,35,0,0,0
Alameda,2021-01-11,428,50,478,2487,115,5,70
Riverside,2021-01-11,1660,131,1791,3550,354,12,16
Madera,2021-01-11,45,2,47,288,12,0,2
Yuba,2021-01-11,54,0,54,261,14,0,2
Solano,2021-01-11,180,16,196,605,47,5,10
Mono,2021-01-11,1,0,1,17,0,0,2
Inyo,2021-01-11,4,0,4,29,0,0,4
Trinity,2021-01-11,0,0,0,25,0,0,0
Siskiyou,2021-01-11,4,0,4,56,3,0,8
Ventura,2021-01-11,437,11,448,1193,83,2,23
Sonoma,2021-01-11,97,9,106,638,17,3,5
Santa Clara,2021-01-11,687,15,702,3143,160,5,45
Mendocino,2021-01-11,15,0,15,116,3,0,5
Kern,2021-01-11,453,11,464,1178,110,0,11
Yolo,2021-01-11,26,0,26,171,9,0,19
San Benito,2021-01-11,18,0,18,25,6,0,0
